State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
  Gujarat  ,64.59,KTM,250 Duke,327767,2017,950,PETROL,41.51,second owner,2021,Expired,INDIVIDUAL,232487.38,Tier 3
  Delhi  ,31.38,HONDA,Shine,69958,2015,230,Petrol,36.9,third owner,2022,Not Available,Dealer,38953.47,Tier 1
Punjab,56.12,  Yamaha  ,FZ V3,129077,2020,653,HYBRID,74.99,second owner,2024,Active,Individual,74931.72,Tier 1
Madhya Pradesh,65.04,  Honda  ,Dio,143967,2021,348,PETROL,,3rd,2024,Not Available,  Dealer  ,108572.62,tier 2
rajasthan,36.36,TVS,Sport,79721,2022,479,Petrol,52.24,3rd,2024,Expired,Dealer,32843.99,metro
  Rajasthan  ,30.48,Yamaha,FZ V3,192503,2024,174,  Electric  ,84.12,1st,2024,Active,Individual,119614.15,Tier 3
  Rajasthan  ,8.96,  Yamaha  ,FZ V3,337542,2022,324,Electric,99.38,3rd,2022,Active,  Dealer  ,149426.1,tier 1
  Tamil Nadu  ,52.43,Hero,Splendor Plus,163967,2021,137,Hybrid,73.82,,2021,ACTIVE,dealer,100551.18,Tier 1
  West Bengal  ,17.74,Kawasaki,Vulcan S,241161,2021,382,Petrol,43.61,THIRD,2023,Expired,Dealer,152037.02,Tier 3
tamil nadu,10.47,KTM,125 Duke,210260,2021,796,Petrol,46.6,1st,2021,expired,Individual,164949.88,Tier 1
MAHARASHTRA,49.59,Bajaj,CT 100,359641,2015,953,Petrol,35.94,Third,2021,Not Available,dealer,176119.75,Tier 1
Tamil Nadu,23.05,Kawasaki,Ninja 300,313332,2022,630,HYBRID,87.78,THIRD,2022,not available,Dealer,213977.88,Tier 1
Delhi,31.49,Hero,Glamour,349664,2019,547,  Hybrid  ,66.38,SECOND,2022,Expired,Individual,174859.82,Metro
uttar pradesh,59.88,Ktm,Duke 200,82535,2021,187,Electric,93.88,Second,2021,Expired,Individual,34055.04,TIER 3
Rajasthan,24.1,TVS,Sport,187400,2021,768,Electric,63.03,first owner,2021,Not Available,INDIVIDUAL,137278.39,  Tier 1  
tamil nadu,5.72,Kawasaki,Ninja 400,387258,2023,498,Petrol,44.19,second owner,2024,  Active  ,Dealer,176066.02,TIER 3
Tamil Nadu,-5.0,Yamaha,MT-15,250636,2022,968,Petrol,32.2,Second,2022,,  Dealer  ,170007.72,Tier 2
Tamil Nadu,18.12,yamaha,R15 V4,"₹367,986",2020,248,  Electric  ,83.93,,2021,Active,DEALER,273519.68,Tier 2
delhi,17.42,Royal Enfield,Meteor 350,272510,2021,988,ELECTRIC,62.67,2nd,2023,active,Dealer,212257.74,Tier 3
Uttar Pradesh,79.37,Bajaj,Dominar 400,211877,2022,294,Petrol,57.62,2nd,2022,Not Available,  Individual  ,106418.75,tier 2
Rajasthan,22.17,Ktm,Duke 200,282460,2021,390,Hybrid,61.88,third owner,2022,Active,individual,132649.52,TIER 2
Tamil Nadu,67.2,KAWASAKI,Ninja 300,191886,2023,236,Petrol,25.19,First,2023,Not Available,Dealer,84463.87,Tier 1
Gujarat,48.7,kawasaki,Vulcan S,338828,2021,852,Electric,93.65,1st,2021,Active,individual,268727.16,METRO
Tamil Nadu,30.88,  TVS  ,NTorq 125,320084,2016,818,Petrol,30.83,Third,2023,Expired,  Individual  ,236901.87,Tier 2
Punjab,67.45,TVS,Sport,309842,2022,326,Petrol,30.09,Second,2021,Active,  Individual  ,181446.79,Tier 3
Tamil Nadu,78.61,TVS,Sport,378939,2022,761,  Petrol  ,42.21,Second,2023,NOT AVAILABLE,Individual,244964.09,Tier 3
tamil nadu,8.44,ROYAL ENFIELD,Hunter 350,207174,2018,995,electric,81.87,SECOND,2023,EXPIRED,DEALER,137986.06,Metro
WEST BENGAL,18.91,HONDA,Shine,368606,2021,946,  Hybrid  ,95.61,SECOND,2024,  Active  ,INDIVIDUAL,224873.75,Tier 2
Tamil Nadu,48.28,Yamaha,Fascino 125,247561,2018,625,Electric,75.06,Third,2022,Not Available,Dealer,,metro
maharashtra,73.9,  Honda  ,Dio,225031,2018,231,Hybrid,68.96,3rd,2023,Not Available,  Dealer  ,145761.48,Tier 2
PUNJAB,59.43,KAWASAKI,Ninja 400,227119,2020,314,  Electric  ,64.58,Third,2024,ACTIVE,INDIVIDUAL,127194.91,Metro
PUNJAB,36.46,TVS,Sport,"₹389,862",2024,441,hybrid,73.29,2nd,2024,NOT AVAILABLE,Individual,225884.76,Tier 2
PUNJAB,71.75,  Yamaha  ,R15 V4,137436,2024,526,HYBRID,89.3,2nd,2024,  Expired  ,Dealer,67194.51,Tier 2
Madhya Pradesh,36.98,Hero,Passion Pro,86110,2024,451,  Hybrid  ,87.38,second owner,2024,EXPIRED,individual,48614.72,Metro
UTTAR PRADESH,38.45,Hero,Splendor Plus,244937,2020,366,Hybrid,,SECOND,2022,EXPIRED,  Dealer  ,131183.11,Tier 3
DELHI,30.88,  Yamaha  ,R15 V4,150889,2019,505,PETROL,37.44,,2023,Expired,  Individual  ,102931.19,Metro
West Bengal,56.6,Honda,Unicorn,52697,2017,932,Hybrid,96.93,SECOND,2024,EXPIRED,Dealer,41040.35,Metro
delhi,11.06,YAMAHA,MT-15,323337,2017,150,Petrol,,Second,2021,Not Available,INDIVIDUAL,216565.17,Tier 1
Delhi,8.95,Hero,HF Deluxe,299609,2019,430,ELECTRIC,95.96,SECOND,2022,Expired,individual,218088.19,tier 3
Tamil Nadu,51.89,Honda,Activa,222032,2021,199,petrol,59.92,FIRST,2021,Active,Dealer,123082.66,tier 1
Maharashtra,66.36,kawasaki,Vulcan S,265748,2020,864,Electric,75.72,second owner,2021,  Active  ,  Individual  ,198752.51,TIER 1
Uttar Pradesh,13.15,  Kawasaki  ,Ninja 300,85992,2024,182,Electric,64.26,SECOND,2024,expired,Dealer,45874.55,Metro
Madhya Pradesh,13.99,Royal Enfield,Himalayan,242802,2019,962,Hybrid,87.62,2nd,2024,Active,Dealer,104779.0,Tier 1
Tamil Nadu,31.82,honda,Shine,101301,2015,846,Electric,82.88,THIRD,2021,Not Available,  Dealer  ,72183.44,  Tier 2  
west bengal,14.82,  Kawasaki  ,Versys 650,258690,2022,169,Electric,68.63,3rd,2024,Not Available,Individual,124786.75,Metro
Karnataka,63.19,Honda,Unicorn,211407,2022,793,Electric,99.94,1st,2022,Expired,  Individual  ,128795.98,Metro
Maharashtra,850.0,hero,Xtreme 160R,213536,2019,874,Electric,89.09,3rd,2022,not available,  Dealer  ,92146.55,  Tier 1  
Madhya Pradesh,24.47,  Honda  ,Shine,135066,2022,685,PETROL,29.93,Second,2022,not available,Dealer,79591.57,Tier 3
tamil nadu,39.89,Royal Enfield,Meteor 350,70075,2016,500,Petrol,52.99,3rd,2024,Expired,Dealer,46896.66,tier 3
Gujarat,16.85,YAMAHA,R15 V4,250869,2019,357,petrol,36.66,3rd,2021,EXPIRED,  Dealer  ,126018.36,  Metro  
Karnataka,49.38,  KTM  ,125 Duke,253100,2021,957,Hybrid,95.16,2nd,2022,Active,INDIVIDUAL,136390.28,Tier 2
Madhya Pradesh,46.75,honda,Shine,86697,2023,243,electric,62.54,SECOND,2024,Expired,Individual,51536.56,tier 1
Maharashtra,10.61,Honda,Unicorn,369640,2023,324,Electric,76.25,,2024,EXPIRED,  Dealer  ,288612.75,Tier 1
Tamil Nadu,64.93,  KTM  ,Duke 200,371783,2023,170,Electric,92.09,Third,2024,,Individual,210454.75,Tier 3
Karnataka,27.87,  Honda  ,Shine,72091,2024,917,petrol,59.69,First,2024,Not Available,individual,56329.93,TIER 1
Punjab,62.91,Royal Enfield,Interceptor 650,352207,2024,976,Petrol,47.36,First,2024,Expired,  Individual  ,191102.25,Tier 2
Tamil Nadu,48.12,TVS,Jupiter,388780,2023,634,  Petrol  ,36.24,SECOND,2023,Expired,Dealer,230793.46,Metro
Rajasthan,28.84,Kawasaki,Ninja 400,63026,2022,590,petrol,57.14,First,2022,NOT AVAILABLE,Dealer,44757.45,TIER 1
Punjab,9.17,Royal Enfield,Himalayan,244147,2021,244,  Hybrid  ,83.19,,2024,NOT AVAILABLE,INDIVIDUAL,166814.00035845826,Tier 1
Karnataka,41.68,  Kawasaki  ,Z650,392547,2023,708,Electric,76.63,third owner,2024,Expired,Dealer,186770.06,METRO
Maharashtra,11.14,Kawasaki,Vulcan S,164900,2021,419,  Electric  ,92.13,Second,2024,Not Available,  Individual  ,67512.06,Tier 2
TAMIL NADU,31.97,kawasaki,Ninja 300,129983,2022,477,Electric,67.52,First,2022,Not Available,DEALER,79108.84,  Tier 1  
west bengal,33.54,TVS,NTorq 125,188250,2024,519,electric,60.66,second owner,2024,not available,individual,77958.01,Tier 3
Karnataka,-5.0,Royal Enfield,Hunter 350,245341,2017,710,Petrol,35.57,3rd,2022,Not Available,individual,119357.08,  Tier 1  
Rajasthan,39.12,  Bajaj  ,CT 100,170883,2020,342,Hybrid,68.79,Third,2024,Not Available,Individual,,tier 1
Gujarat,68.82,honda,Shine,180339,2021,735,  Electric  ,82.38,first owner,2021,  Active  ,Individual,89567.14,Tier 1
MADHYA PRADESH,57.96,bajaj,Avenger 220,185667,2022,610,ELECTRIC,95.26,first owner,2022,not available,Dealer,93980.31,Metro
Delhi,73.84,Honda,CBR 650R,314921,2021,852,Petrol,53.08,1st,2021,  Not Available  ,dealer,211239.99,Tier 3
Tamil Nadu,52.34,Bajaj,Avenger 220,77645,2023,295,Petrol,31.59,third owner,2024,Active,  Individual  ,33017.24,Metro
maharashtra,54.46,BAJAJ,Pulsar 150,125458,2017,911,PETROL,53.75,THIRD,2023,Not Available,dealer,93722.09,  Tier 3  
GUJARAT,5.03,  Kawasaki  ,Z650,100896,2021,179,Electric,-15.0,Third,2023,EXPIRED,dealer,55471.59,metro
Rajasthan,8.77,Bajaj,Avenger 220,263855,2024,120,Petrol,37.13,SECOND,2024,NOT AVAILABLE,Individual,200891.8,Metro
Gujarat,39.54,  Yamaha  ,Fascino 125,321265,2020,280,Hybrid,61.13,Third,2022,Not Available,Dealer,219495.89,Tier 3
west bengal,25.73,Honda,Activa,393048,2021,628,Hybrid,83.38,Third,2023,,dealer,301778.04345001845,TIER 3
Punjab,37.0,KTM,Duke 200,376474,2023,618,  Petrol  ,49.4,first owner,2023,Expired,Individual,170716.24,tier 2
Gujarat,53.87,HERO,Xtreme 160R,201019,2024,949,hybrid,89.38,THIRD,2024,Not Available,Dealer,119320.18,Tier 3
Maharashtra,7.9,Ktm,390 Adventure,272350,2022,252,Electric,85.85,3rd,2024,  Expired  ,Dealer,181409.72,tier 2
Maharashtra,31.37,  Hero  ,HF Deluxe,93792,2022,121,Petrol,45.01,First,2022,Not Available,Dealer,59640.8,Metro
Punjab,76.81,Bajaj,Platina 110,100810,2020,430,electric,77.36,Second,2022,Not Available,  Individual  ,49865.07,metro
MADHYA PRADESH,17.44,Honda,Shine,221497,2017,817,  Hybrid  ,78.49,2nd,2023,EXPIRED,Individual,140511.95,METRO
Punjab,33.83,tvs,Apache RTR 160,62790,2019,173,  Hybrid  ,94.36,Second,2023,Not Available,  Individual  ,46532.78,Tier 2
Karnataka,65.73,Royal Enfield,Interceptor 650,318233,2021,609,  Hybrid  ,84.51,2nd,2023,Not Available,Individual,234583.16,Tier 3
  Uttar Pradesh  ,30.37,  Kawasaki  ,Vulcan S,221245,2021,522,Electric,68.27,third owner,2024,ACTIVE,dealer,172375.86,Tier 2
  Punjab  ,34.59,KTM,Duke 200,333057,2021,381,Electric,70.15,third owner,2024,  Active  ,DEALER,160131.3,Tier 1
Maharashtra,20.74,  Kawasaki  ,Versys 650,141325,2022,246,petrol,56.05,First,2022,,Dealer,,  Metro  
Gujarat,56.53,KTM,Duke 200,64139,2020,706,Hybrid,88.78,third owner,2021,,Dealer,30071.84,Tier 3
  Rajasthan  ,21.69,Yamaha,Ray ZR,359217,2021,448,Petrol,33.03,2nd,2022,expired,Dealer,282505.91,  Tier 2  
Maharashtra,19.58,  TVS  ,NTorq 125,249041,2021,540,  Electric  ,66.93,SECOND,2024,Expired,individual,180182.52,Tier 1
Tamil Nadu,59.42,ROYAL ENFIELD,Interceptor 650,302141,2021,216,Hybrid,64.06,Second,2021,active,Individual,220116.69,tier 3
Uttar Pradesh,74.46,Honda,CBR 650R,360430,2021,852,ELECTRIC,71.74,SECOND,2022,ACTIVE,Dealer,216419.04,tier 2
karnataka,28.64,Bajaj,Avenger 220,368428,2023,457,Hybrid,91.63,FIRST,2023,Not Available,Dealer,264823.37,  Tier 3  
  West Bengal  ,25.15,  Yamaha  ,R15 V4,90238,2020,905,PETROL,49.22,second owner,2021,Not Available,Dealer,36958.1,  Tier 1  
rajasthan,43.37,  Kawasaki  ,Ninja 300,85899,2024,337,Hybrid,77.37,1st,2024,  Active  ,Dealer,48756.71,Tier 1
Maharashtra,53.47,TVS,Jupiter,342285,2016,221,PETROL,42.98,,2024,Active,  Dealer  ,265643.71,Metro
Uttar Pradesh,79.99,Kawasaki,Ninja 400,390684,2020,529,  Hybrid  ,69.0,SECOND,2021,expired,Dealer,230644.65,Tier 2
Gujarat,32.67,  KTM  ,250 Duke,72006,2022,776,ELECTRIC,81.74,First,2022,Not Available,Individual,55000.87,METRO
Madhya Pradesh,55.64,  TVS  ,NTorq 125,132777,2016,335,Petrol,56.2,,2022,NOT AVAILABLE,DEALER,71767.9,  Tier 1  
TAMIL NADU,5.44,Honda,Activa,245736,2021,117,hybrid,67.65,SECOND,2022,  Active  ,individual,175411.26,  Metro  
Punjab,65.03,Hero,Xtreme 160R,237826,2015,123,hybrid,77.62,third owner,2023,not available,Dealer,183312.8,metro
Karnataka,24.48,Bajaj,Pulsar 150,"₹305,662",2021,190,hybrid,64.21,First,2021,not available,DEALER,228436.49,METRO
Karnataka,54.01,royal enfield,Classic 350,94658,2024,956,ELECTRIC,88.21,Second,2024,,Dealer,59439.74,tier 2
Madhya Pradesh,57.92,  Bajaj  ,CT 100,175588,2024,960,Electric,64.6,first owner,2024,NOT AVAILABLE,  Individual  ,133931.85,Metro
Karnataka,60.49,KTM,390 Adventure,357418,2018,567,  Hybrid  ,98.59,Third,2021,ACTIVE,Dealer,225022.35,Tier 1
West Bengal,62.77,Hero,HF Deluxe,337169,2023,776,  Hybrid  ,78.55,FIRST,2023,Not Available,individual,220600.91,tier 3
Tamil Nadu,69.03,KTM,390 Adventure,143564,2023,749,  Electric  ,72.77,second owner,2024,Active,  Individual  ,92210.2,TIER 3
  West Bengal  ,42.83,  Honda  ,Unicorn,237306,2023,247,Electric,99.58,2nd,2024,expired,Individual,97759.17,Metro
West Bengal,21.7,HERO,Splendor Plus,219933,2017,166,Hybrid,60.13,third owner,2022,EXPIRED,  Individual  ,100871.7,Tier 1
Tamil Nadu,61.12,Kawasaki,Versys 650,306105,2022,222,Hybrid,63.56,Third,2022,  Active  ,individual,136651.47,metro
  Madhya Pradesh  ,42.87,yamaha,MT-15,155016,2020,336,Petrol,33.13,second owner,2021,Expired,DEALER,71379.42,Tier 3
Tamil Nadu,60.37,yamaha,FZ V3,"₹111,987",2023,980,Hybrid,67.31,,2023,  Not Available  ,DEALER,84805.62,Metro
Gujarat,28.4,  Royal Enfield  ,Hunter 350,79840,2023.0,594,hybrid,98.56,1st,2023,Expired,INDIVIDUAL,,TIER 3
Uttar Pradesh,71.77,Kawasaki,Vulcan S,258339,2022,767,ELECTRIC,78.68,THIRD,2023,Active,Dealer,139198.28,METRO
GUJARAT,66.49,yamaha,Fascino 125,387487,2015,901,Hybrid,71.43,third owner,2023,  Not Available  ,individual,275274.81,Tier 3
Uttar Pradesh,25.06,kawasaki,Ninja 300,207479,2018,693,Petrol,28.18,SECOND,2023,Active,Individual,129077.01,TIER 2
punjab,29.91,TVS,Jupiter,168983,2017,856,Electric,86.76,THIRD,2021,Active,Individual,128016.71,Tier 3
punjab,37.85,  Royal Enfield  ,Himalayan,205725,2019,696,Electric,95.54,second owner,2023,  Expired  ,dealer,146454.61,Tier 3
  West Bengal  ,68.7,Kawasaki,Ninja 400,189079,2019,435,Electric,66.98,2nd,2023,  Active  ,  Individual  ,140194.71,TIER 2
DELHI,6.88,Yamaha,FZ V3,341294,2023,826,  Hybrid  ,74.33,Third,2024,Expired,Dealer,192021.62,Tier 2
Madhya Pradesh,66.74,KTM,Duke 200,61295,2019,244,Petrol,30.58,Second,2024,  Not Available  ,Dealer,40425.35,Tier 1
punjab,57.16,HONDA,Unicorn,171599,2023,560,Electric,89.07,first owner,2023,expired,Dealer,88765.6,  Tier 1  
Maharashtra,32.6,Yamaha,R15 V4,262953,2022,376,HYBRID,78.58,First,2022,EXPIRED,INDIVIDUAL,190638.07,TIER 2
Punjab,51.28,  KTM  ,390 Adventure,137213,2024,678,Hybrid,60.77,SECOND,2024,  Active  ,Dealer,84678.7,Tier 1
  West Bengal  ,10.37,Hero,Splendor Plus,199985,2024,640,ELECTRIC,87.68,SECOND,2024,active,Individual,148394.02,TIER 3
TAMIL NADU,12.29,KTM,125 Duke,51820,2021,448,Petrol,29.09,Second,2023,Not Available,Dealer,26495.43,Tier 1
DELHI,22.02,  TVS  ,Jupiter,97429,2022,761,Hybrid,63.74,1st,2022,EXPIRED,Individual,46850.88,Tier 3
karnataka,12.9,YAMAHA,MT-15,254980,2024,435,petrol,48.64,Third,2024,active,Dealer,,TIER 2
  Rajasthan  ,58.62,Honda,Unicorn,399730,2023,488,HYBRID,66.11,First,2023,Not Available,Dealer,231471.38,Tier 3
West Bengal,48.46,TVS,Jupiter,304984,2023,694,  Hybrid  ,,First,2023,Not Available,DEALER,136765.86,Tier 1
TAMIL NADU,55.64,royal enfield,Hunter 350,108361,2018,861,Petrol,41.56,THIRD,2024,Not Available,Individual,62239.94,TIER 1
DELHI,49.58,Hero,Passion Pro,171878,2024,981,Hybrid,90.6,THIRD,2024,Not Available,dealer,80360.8,Tier 1
Punjab,62.72,KTM,125 Duke,269208,2021,525,Hybrid,74.98,FIRST,2021,NOT AVAILABLE,INDIVIDUAL,129382.68,Tier 2
UTTAR PRADESH,79.03,royal enfield,Meteor 350,324155,2017,388,Hybrid,86.42,third owner,2024,active,Individual,211946.73,TIER 2
Punjab,10.34,KTM,RC 390,308542,2017,956,Hybrid,69.09,Third,2023,Expired,DEALER,194966.08,Metro
West Bengal,62.54,  Bajaj  ,Dominar 400,180575,2022,275,Petrol,56.64,SECOND,2023,  Expired  ,Individual,79788.94,Metro
MAHARASHTRA,14.0,Royal Enfield,Interceptor 650,377856,2024,9999,hybrid,87.92,Third,2024,  Expired  ,  Individual  ,215757.06,Tier 1
Gujarat,41.34,Bajaj,Dominar 400,334036,2021,519,PETROL,38.62,Third,2024,Not Available,dealer,229831.41,METRO
Rajasthan,63.91,Honda,Activa,101145,2022,451,Electric,84.27,FIRST,2022,Expired,Individual,80753.17,Tier 2
Karnataka,37.2,Tvs,Ronin,114764,2020,582,Electric,66.43,2nd,2021,active,Dealer,76427.63,METRO
Punjab,62.5,  KTM  ,Duke 200,360490,2015,295,Petrol,44.17,2nd,2024,EXPIRED,Individual,270405.78,Tier 1
West Bengal,29.15,Hero,Passion Pro,61873,2021,549,Petrol,31.97,Second,2024,Expired,  Dealer  ,33822.11,Metro
  Gujarat  ,64.38,  TVS  ,Jupiter,169146,2016,286,Hybrid,65.66,second owner,2021,Expired,Dealer,,Tier 3
PUNJAB,58.58,Bajaj,Platina 110,283985,2022,320,electric,62.48,2nd,2023,  Active  ,INDIVIDUAL,139198.14,Tier 3
KARNATAKA,60.16,Kawasaki,Ninja 400,136328,2022,858,Petrol,40.77,first owner,2022,  Not Available  ,Individual,75146.56,TIER 1
delhi,76.21,Royal Enfield,Meteor 350,69291,2017,134,ELECTRIC,65.73,SECOND,2023,,Dealer,53121.8,Tier 3
Maharashtra,36.37,  Honda  ,Dio,224405,2024,588,Electric,94.84,,2024,NOT AVAILABLE,Dealer,135895.37,Tier 3
  Delhi  ,57.83,Bajaj,Platina 110,73407,2023,202,Electric,66.64,Third,2023,Expired,  Individual  ,47519.72,Tier 2
Karnataka,28.34,KTM,Duke 200,241646,2024,390,Hybrid,72.21,second owner,2024,NOT AVAILABLE,dealer,97027.78,tier 2
Rajasthan,50.76,KAWASAKI,Ninja 300,322366,2021,927,Petrol,37.55,Third,2023,Expired,dealer,202770.59,  Tier 2  
Gujarat,50.26,  KTM  ,390 Adventure,132956,2024,506,petrol,59.8,FIRST,2024,active,individual,65438.73,  Tier 1  
Madhya Pradesh,47.76,TVS,NTorq 125,366633,2018,611,Electric,86.29,,2022,NOT AVAILABLE,INDIVIDUAL,213215.74,Metro
DELHI,74.23,BAJAJ,Pulsar 150,104007,2024,300,HYBRID,68.21,SECOND,2024,Active,  Dealer  ,55787.83,  Tier 3  
  Maharashtra  ,61.27,Honda,Dio,79578,2024,846,petrol,48.72,1st,2024,Expired,Individual,56690.73,Tier 1
MAHARASHTRA,25.23,  Yamaha  ,MT-15,345237,2016,908,Hybrid,77.98,Second,2021,Expired,Dealer,237637.35,TIER 1
West Bengal,11.01,TVS,Ronin,236303,2021,877,petrol,53.11,3rd,2023,Active,individual,103242.42,  Tier 3  
Karnataka,34.64,Bajaj,Pulsar 150,65228,2017,541,Electric,70.47,SECOND,2021,Expired,Individual,45355.55,Tier 2
madhya pradesh,75.26,  Royal Enfield  ,Himalayan,372773,2023,399,Electric,88.57,First,2023,NOT AVAILABLE,dealer,164262.01,tier 3
Punjab,10.08,hero,Glamour,220851,2022,809,Electric,68.72,FIRST,2022,Not Available,Dealer,152826.74,tier 3
Gujarat,8.48,Honda,Dio,370481,2023,872,Hybrid,90.43,third owner,2024,Not Available,dealer,173744.48,tier 3
delhi,16.62,KTM,390 Adventure,294657,2021,186,hybrid,,third owner,2023,  Expired  ,Individual,167643.18,  Tier 2  
WEST BENGAL,42.61,Bajaj,Dominar 400,229467,2022,892,  Petrol  ,40.74,Third,2023,Active,Individual,125900.52,Tier 3
Uttar Pradesh,47.71,TVS,NTorq 125,379041,2022,183,Petrol,57.85,second owner,2024,Expired,Dealer,,Tier 3
  Delhi  ,54.81,Kawasaki,Vulcan S,335738,2021,697,Hybrid,61.76,second owner,2021,  Expired  ,Dealer,,TIER 1
Rajasthan,6.15,  Royal Enfield  ,Hunter 350,277631,2021,252,Electric,84.03,second owner,2024,Active,individual,181286.22,  Tier 2  
  West Bengal  ,16.57,Hero,Passion Pro,175610,2022,658,ELECTRIC,63.9,,2024,Not Available,Dealer,99036.45,Tier 3
  Gujarat  ,22.22,  KTM  ,Duke 200,195199,2021,190,ELECTRIC,86.1,first owner,2021,Expired,  Dealer  ,112135.99,tier 1
uttar pradesh,42.53,Royal Enfield,Interceptor 650,387533,2024,348,  Hybrid  ,72.16,2nd,2024,Not Available,Dealer,205036.98,Tier 3
Maharashtra,78.28,KTM,Duke 200,311255,2024,360,PETROL,41.29,Third,2024,Expired,  Individual  ,228628.66,  Tier 3  
PUNJAB,61.7,  Royal Enfield  ,Hunter 350,358609,2021,621,Petrol,56.32,Second,2022,  Not Available  ,individual,202034.4,Tier 3
West Bengal,7.73,HERO,Xtreme 160R,156416,2019,387,HYBRID,87.78,THIRD,2023,Expired,dealer,106305.45,metro
TAMIL NADU,62.31,Honda,CBR 650R,265997,2021,568,Petrol,36.3,THIRD,2024,Active,  Dealer  ,140694.3,  Tier 2  
Delhi,18.07,royal enfield,Himalayan,381316,2023,756,ELECTRIC,83.21,Second,2024,Expired,  Dealer  ,187644.65,METRO
Delhi,37.36,  TVS  ,Apache RTR 160,78840,2019,671,HYBRID,67.59,Second,2023,Active,Individual,56438.07,Tier 1
Uttar Pradesh,40.41,Honda,Shine,332617,2015,352,  Hybrid  ,76.95,Second,2021,,dealer,167586.09,Tier 3
  Gujarat  ,43.89,HONDA,Activa,100031,2021,289,PETROL,38.07,THIRD,2024,Active,Individual,72816.08,TIER 3
KARNATAKA,56.03,ktm,Duke 200,162233,2024,799,Electric,,Second,2024,active,Dealer,97158.61,Tier 2
Rajasthan,10.7,Ktm,250 Duke,331220,2024,614,Hybrid,85.96,First,2024,Active,  Individual  ,159162.87,Tier 3
Rajasthan,52.06,Yamaha,Fascino 125,225964,2024,940,Hybrid,68.56,THIRD,2024,Expired,  Dealer  ,127575.13,Tier 1
Delhi,77.46,TVS,NTorq 125,348910,2024,765,Electric,91.63,Second,2024,expired,  Individual  ,209554.45456697664,tier 3
RAJASTHAN,61.35,Kawasaki,Ninja 400,56493,2022,973,Petrol,39.99,1st,2022,not available,Individual,43477.76010476904,Tier 1
Madhya Pradesh,12.53,Honda,Activa,"₹241,441",2015,457,  Hybrid  ,75.85,2nd,2023,Active,  Individual  ,106892.38,Metro
Punjab,58.63,  Royal Enfield  ,Himalayan,366935,2023,571,Petrol,26.51,2nd,2023,NOT AVAILABLE,  Dealer  ,188181.72,  Metro  
Uttar Pradesh,48.51,Kawasaki,Ninja 400,142213,2023,349,Electric,92.52,FIRST,2023,not available,Individual,100219.73,  Tier 1  
Madhya Pradesh,66.88,Honda,Dio,135776,2021,643,petrol,55.27,,2023,not available,Dealer,65762.37,  Metro  
Karnataka,59.22,YAMAHA,MT-15,348426,2023,238,petrol,34.39,1st,2023,Not Available,Individual,236846.06,  Metro  
Punjab,42.37,  Hero  ,Passion Pro,87663,2024,737,ELECTRIC,76.9,2nd,2024,Active,Dealer,49913.16,  Tier 2  
Tamil Nadu,31.79,Bajaj,Pulsar 150,307220,2019,479,Petrol,59.72,Second,2023,Not Available,Individual,205676.71,Tier 2
Karnataka,58.57,Kawasaki,Vulcan S,346646,2018,486,Petrol,38.25,Third,2022,  Active  ,INDIVIDUAL,224866.57,Tier 1
gujarat,65.73,Yamaha,Ray ZR,300685,2022,487,electric,94.67,THIRD,2022,active,Individual,230231.27,tier 2
  Maharashtra  ,7.01,yamaha,MT-15,214265,2023,958,  Petrol  ,30.29,3rd,2024,Expired,DEALER,91735.69,Tier 2
Tamil Nadu,18.8,bajaj,Avenger 220,69627,2021,846,Electric,75.27,first owner,2021,  Active  ,Dealer,39412.01,tier 1
Madhya Pradesh,45.79,  Honda  ,Activa,268594,2023,835,Petrol,39.58,2nd,2024,Expired,INDIVIDUAL,,Tier 3
Rajasthan,46.53,KTM,Duke 200,380020,2017,506,Electric,61.78,second owner,2023,Active,  Dealer  ,288191.51,  Metro  
Uttar Pradesh,18.15,KTM,Duke 200,261801,2019,279,Hybrid,95.43,3rd,2021,Not Available,Dealer,202190.83,tier 3
gujarat,77.43,Honda,Unicorn,212431,2018,775,Electric,96.21,Third,2022,  Expired  ,Dealer,122126.36,Tier 3
TAMIL NADU,22.23,Kawasaki,Ninja 400,377585,2022,303,electric,60.69,Second,2024,Active,Dealer,222498.98,Tier 3
  Delhi  ,76.4,  Yamaha  ,Ray ZR,371067,2015,806,ELECTRIC,79.92,3rd,2024,Active,Individual,281343.39,tier 1
Uttar Pradesh,6.22,KTM,390 Adventure,114386,2024,255,Electric,96.5,3rd,2024,Active,dealer,61908.43,Tier 3
  West Bengal  ,21.86,Honda,Activa,289424,2022,1000,petrol,31.37,,2023,expired,Dealer,119521.72,Metro
karnataka,57.06,Kawasaki,Ninja 300,297288,2019,592,  Electric  ,61.02,Third,2023,  Not Available  ,Individual,235411.98,Tier 3
Karnataka,16.82,Honda,Activa,161847,2020,875,  Electric  ,75.2,SECOND,2023,EXPIRED,Individual,64869.6,Tier 3
Gujarat,32.85,Yamaha,FZ V3,64436,2023,730,Hybrid,82.75,3rd,2023,Not Available,Dealer,48782.78,Tier 1
MADHYA PRADESH,13.87,Bajaj,Avenger 220,"₹103,137",2021,315,  Petrol  ,32.18,second owner,2023,  Not Available  ,individual,44598.47,Tier 1
